Rank,Name,Nationality,Result,Notes,Group
1,Svatoslav Ton,Czech Republic,2.14,q,A
1,Toni Huikuri,Finlandi,2.14,q,A
1,James Brierley,United Kingdom,2.14,q,A
1,Noriyasu Arai,Japan,2.14,q,A
5,Yannick Tregaro,Sweden,2.14,q,A
5,Dejan Vreljakovic,FR,Yugoslavia,2.14	q,A
7,Alfredo Deza,Peru,2.10,,A
8,Vagner Principe,Brazil,2.10,,A
9,Alberto Juantorena Jr.,Cuba,2.10,,A
10,Marcin Kaczocha,Poland,2.10,,A
11,Andrey Krasulya,Ukraine,2.05,,A
12,David Larsen,United States,2.05,,A
13,Ronald Garlett,Australia,2.00,,A
13,Oleg Prokopov,Belarus,2.00,,A
15,Felipe Apablaza,Chile,2.00,,A
16,Luis Soto Caballero,Puerto Rico,2.00,,A
,Zoltán Akacz,Hungary,NH,,A
1,Mark Boswell,Canada,2.14,q,B
1,Ben Challenger,United Kingdom,2.14,q,B
1,Roman Fricke,Germany,2.14,q,B
1,Tivadar Kovács,Hungary,2.14,q,B
1,Dave Furman,United States,2.14,q,B
6,François Potgieter,South Africa,2.14,q,B
7,Sauli Niemi,Finland,2.10,,B
7,Katsuyoshi Miyamichi,Japan,2.10,,B
9,Marat Rakipov,Russia,2.10,,B
10,Adi Mordel,Israel,2.10,,B
11,Fabrício Romero,Brazil,2.10,,B
12,Abderahmane Hammad,Algeria,2.05,,B
12,Luke Temme,Australia,2.05,,B
14,Aleksey Lesnichiy,Belarus,2.05,,B
15,Ha Chung-Soo,South Korea,2.00,,B
16,Dejan Dokleja,Croatia,2.00,,B
,Fawzi Warsame,Somalia,NH,,B

